Date,Rate A,Rate B,Rate C,Load
02/01/2025 16.00,66.0,0.0,0.0,66.0
02/01/2025 16.15,74.4,0.0,0.0,74.4
02/01/2025 16.30,84.0,0.0,0.0,84.0
02/01/2025 16.45,75.6,0.0,0.0,75.6
02/01/2025 17.00,66.0,0.0,0.0,66.0
02/01/2025 17.15,67.2,0.0,0.0,67.2
02/01/2025 17.30,67.2,0.0,0.0,67.2
02/01/2025 17.45,66.0,0.0,0.0,66.0
02/01/2025 18.00,63.6,0.0,0.0,63.6
02/01/2025 18.15,54.0,0.0,0.0,54.0
02/01/2025 18.30,46.8,0.0,0.0,46.8
02/01/2025 18.45,48.0,0.0,0.0,48.0
02/01/2025 19.00,58.8,0.0,0.0,58.8
02/01/2025 19.15,60.0,0.0,0.0,60.0
02/01/2025 19.30,62.4,0.0,0.0,62.4
02/01/2025 19.45,72.0,0.0,0.0,72.0
02/01/2025 20.00,76.8,0.0,0.0,76.8
02/01/2025 20.15,75.6,0.0,0.0,75.6
02/01/2025 20.30,72.0,0.0,0.0,72.0
02/01/2025 20.45,64.8,0.0,0.0,64.8
02/01/2025 21.00,67.2,0.0,0.0,67.2
02/01/2025 21.15,74.4,0.0,0.0,74.4
02/01/2025 21.30,66.0,0.0,0.0,66.0
02/01/2025 21.45,75.6,0.0,0.0,75.6
02/01/2025 22.00,0.0,70.8,0.0,70.8
02/01/2025 22.15,0.0,69.6,0.0,69.6
02/01/2025 22.30,0.0,82.8,0.0,82.8
02/01/2025 22.45,0.0,86.4,0.0,86.4
02/01/2025 23.00,0.0,74.4,0.0,74.4
02/01/2025 23.15,0.0,66.0,0.0,66.0
02/01/2025 23.30,0.0,66.0,0.0,66.0
02/01/2025 23.45,0.0,73.2,0.0,73.2
03/01/2025 00.00,0.0,73.2,0.0,73.2
03/01/2025 00.15,0.0,61.2,0.0,61.2
03/01/2025 00.30,0.0,66.0,0.0,66.0
03/01/2025 00.45,0.0,69.6,0.0,69.6
03/01/2025 01.00,0.0,67.2,0.0,67.2
03/01/2025 01.15,0.0,67.2,0.0,67.2
03/01/2025 01.30,0.0,66.0,0.0,66.0
03/01/2025 01.45,0.0,61.2,0.0,61.2
03/01/2025 02.00,0.0,54.0,0.0,54.0
03/01/2025 02.15,0.0,52.8,0.0,52.8
03/01/2025 02.30,0.0,54.0,0.0,54.0
03/01/2025 02.45,0.0,58.8,0.0,58.8
03/01/2025 03.00,0.0,58.8,0.0,58.8
03/01/2025 03.15,0.0,55.2,0.0,55.2
03/01/2025 03.30,0.0,57.6,0.0,57.6
03/01/2025 03.45,0.0,55.2,0.0,55.2
03/01/2025 04.00,0.0,52.8,0.0,52.8
03/01/2025 04.15,0.0,51.6,0.0,51.6
03/01/2025 04.30,0.0,46.8,0.0,46.8
03/01/2025 04.45,0.0,48.0,0.0,48.0
03/01/2025 05.00,0.0,56.4,0.0,56.4
03/01/2025 05.15,0.0,60.0,0.0,60.0
03/01/2025 05.30,0.0,54.0,0.0,54.0
03/01/2025 05.45,0.0,51.6,0.0,51.6
03/01/2025 06.00,0.0,57.6,0.0,57.6
03/01/2025 06.15,0.0,64.8,0.0,64.8
03/01/2025 06.30,0.0,66.0,0.0,66.0
03/01/2025 06.45,0.0,67.2,0.0,67.2
03/01/2025 07.00,0.0,75.6,0.0,75.6
03/01/2025 07.15,0.0,76.8,0.0,76.8
03/01/2025 07.30,0.0,72.0,0.0,72.0
03/01/2025 07.45,0.0,66.0,0.0,66.0
03/01/2025 08.00,0.0,75.6,0.0,75.6
03/01/2025 08.15,0.0,75.6,0.0,75.6
03/01/2025 08.30,0.0,73.2,0.0,73.2
03/01/2025 08.45,0.0,72.0,0.0,72.0
03/01/2025 09.00,69.6,0.0,0.0,69.6
03/01/2025 09.15,80.4,0.0,0.0,80.4
03/01/2025 09.30,76.8,0.0,0.0,76.8
03/01/2025 09.45,76.8,0.0,0.0,76.8
03/01/2025 10.00,76.8,0.0,0.0,76.8
03/01/2025 10.15,75.6,0.0,0.0,75.6
03/01/2025 10.30,85.2,0.0,0.0,85.2
03/01/2025 10.45,84.0,0.0,0.0,84.0
03/01/2025 11.00,90.0,0.0,0.0,90.0
03/01/2025 11.15,93.6,0.0,0.0,93.6
03/01/2025 11.30,93.6,0.0,0.0,93.6
03/01/2025 11.45,85.2,0.0,0.0,85.2
03/01/2025 12.00,74.4,0.0,0.0,74.4
03/01/2025 12.15,68.4,0.0,0.0,68.4
03/01/2025 12.30,84.0,0.0,0.0,84.0
03/01/2025 12.45,75.6,0.0,0.0,75.6
03/01/2025 13.00,72.0,0.0,0.0,72.0
03/01/2025 13.15,66.0,0.0,0.0,66.0
03/01/2025 13.30,67.2,0.0,0.0,67.2
03/01/2025 13.45,78.0,0.0,0.0,78.0
03/01/2025 14.00,75.6,0.0,0.0,75.6
03/01/2025 14.15,73.2,0.0,0.0,73.2
03/01/2025 14.30,78.0,0.0,0.0,78.0
03/01/2025 14.45,80.4,0.0,0.0,80.4
03/01/2025 15.00,70.8,0.0,0.0,70.8
03/01/2025 15.15,64.8,0.0,0.0,64.8
03/01/2025 15.30,66.0,0.0,0.0,66.0
03/01/2025 15.45,69.6,0.0,0.0,69.6
03/01/2025 16.00,75.6,0.0,0.0,75.6
03/01/2025 16.15,86.4,0.0,0.0,86.4
03/01/2025 16.30,74.4,0.0,0.0,74.4
03/01/2025 16.45,72.0,0.0,0.0,72.0
03/01/2025 17.00,60.0,0.0,0.0,60.0
03/01/2025 17.15,64.8,0.0,0.0,64.8
03/01/2025 17.30,56.4,0.0,0.0,56.4
03/01/2025 17.45,62.4,0.0,0.0,62.4
03/01/2025 18.00,64.8,0.0,0.0,64.8
03/01/2025 18.15,74.4,0.0,0.0,74.4
03/01/2025 18.30,69.6,0.0,0.0,69.6
03/01/2025 18.45,78.0,0.0,0.0,78.0
03/01/2025 19.00,74.4,0.0,0.0,74.4
03/01/2025 19.15,86.4,0.0,0.0,86.4
03/01/2025 19.30,78.0,0.0,0.0,78.0
03/01/2025 19.45,84.0,0.0,0.0,84.0
03/01/2025 20.00,79.2,0.0,0.0,79.2
03/01/2025 20.15,78.0,0.0,0.0,78.0
03/01/2025 20.30,70.8,0.0,0.0,70.8
03/01/2025 20.45,82.8,0.0,0.0,82.8
03/01/2025 21.00,80.4,0.0,0.0,80.4
03/01/2025 21.15,81.6,0.0,0.0,81.6
03/01/2025 21.30,84.0,0.0,0.0,84.0
03/01/2025 21.45,81.6,0.0,0.0,81.6
03/01/2025 22.00,0.0,81.6,0.0,81.6
03/01/2025 22.15,0.0,85.2,0.0,85.2
03/01/2025 22.30,0.0,74.4,0.0,74.4
03/01/2025 22.45,0.0,69.6,0.0,69.6
03/01/2025 23.00,0.0,69.6,0.0,69.6
03/01/2025 23.15,0.0,68.4,0.0,68.4
03/01/2025 23.30,0.0,64.8,0.0,64.8
03/01/2025 23.45,0.0,67.2,0.0,67.2
04/01/2025 00.00,0.0,0.0,73.2,73.2
04/01/2025 00.15,0.0,0.0,79.2,79.2
04/01/2025 00.30,0.0,0.0,78.0,78.0
04/01/2025 00.45,0.0,0.0,81.6,81.6
04/01/2025 01.00,0.0,0.0,75.6,75.6
04/01/2025 01.15,0.0,0.0,75.6,75.6
04/01/2025 01.30,0.0,0.0,81.6,81.6
04/01/2025 01.45,0.0,0.0,68.4,68.4
04/01/2025 02.00,0.0,0.0,66.0,66.0
04/01/2025 02.15,0.0,0.0,60.0,60.0
04/01/2025 02.30,0.0,0.0,60.0,60.0
04/01/2025 02.45,0.0,0.0,66.0,66.0
04/01/2025 03.00,0.0,0.0,67.2,67.2
04/01/2025 03.15,0.0,0.0,68.4,68.4
04/01/2025 03.30,0.0,0.0,69.6,69.6
04/01/2025 03.45,0.0,0.0,63.6,63.6
04/01/2025 04.00,0.0,0.0,64.8,64.8
04/01/2025 04.15,0.0,0.0,57.6,57.6
04/01/2025 04.30,0.0,0.0,54.0,54.0
04/01/2025 04.45,0.0,0.0,51.6,51.6
04/01/2025 05.00,0.0,0.0,60.0,60.0
04/01/2025 05.15,0.0,0.0,63.6,63.6
04/01/2025 05.30,0.0,0.0,66.0,66.0
04/01/2025 05.45,0.0,0.0,61.2,61.2
04/01/2025 06.00,0.0,0.0,61.2,61.2
04/01/2025 06.15,0.0,0.0,64.8,64.8
04/01/2025 06.30,0.0,0.0,61.2,61.2
04/01/2025 06.45,0.0,0.0,70.8,70.8
04/01/2025 07.00,0.0,0.0,75.6,75.6
04/01/2025 07.15,0.0,0.0,74.4,74.4
04/01/2025 07.30,0.0,0.0,84.0,84.0
04/01/2025 07.45,0.0,0.0,75.6,75.6
04/01/2025 08.00,0.0,0.0,75.6,75.6
04/01/2025 08.15,0.0,0.0,75.6,75.6
04/01/2025 08.30,0.0,0.0,81.6,81.6
04/01/2025 08.45,0.0,0.0,84.0,84.0
04/01/2025 09.00,0.0,0.0,91.2,91.2
04/01/2025 09.15,0.0,0.0,91.2,91.2
04/01/2025 09.30,0.0,0.0,97.2,97.2
04/01/2025 09.45,0.0,0.0,99.6,99.6
04/01/2025 10.00,0.0,0.0,97.2,97.2
04/01/2025 10.15,0.0,0.0,97.2,97.2
04/01/2025 10.30,0.0,0.0,92.4,92.4
04/01/2025 10.45,0.0,0.0,94.8,94.8
04/01/2025 11.00,0.0,0.0,97.2,97.2
04/01/2025 11.15,0.0,0.0,102.0,102.0
04/01/2025 11.30,0.0,0.0,99.6,99.6
04/01/2025 11.45,0.0,0.0,85.2,85.2
04/01/2025 12.00,0.0,0.0,84.0,84.0
04/01/2025 12.15,0.0,0.0,78.0,78.0
04/01/2025 12.30,0.0,0.0,82.8,82.8
04/01/2025 12.45,0.0,0.0,74.4,74.4
04/01/2025 13.00,0.0,0.0,74.4,74.4
04/01/2025 13.15,0.0,0.0,66.0,66.0
04/01/2025 13.30,0.0,0.0,62.4,62.4
04/01/2025 13.45,0.0,0.0,86.4,86.4
04/01/2025 14.00,0.0,0.0,84.0,84.0
04/01/2025 14.15,0.0,0.0,94.8,94.8
04/01/2025 14.30,0.0,0.0,86.4,86.4
04/01/2025 14.45,0.0,0.0,76.8,76.8
04/01/2025 15.00,0.0,0.0,80.4,80.4
04/01/2025 15.15,0.0,0.0,72.0,72.0
04/01/2025 15.30,0.0,0.0,66.0,66.0
04/01/2025 15.45,0.0,0.0,75.6,75.6
04/01/2025 16.00,0.0,0.0,74.4,74.4
04/01/2025 16.15,0.0,0.0,74.4,74.4
04/01/2025 16.30,0.0,0.0,74.4,74.4
04/01/2025 16.45,0.0,0.0,78.0,78.0
04/01/2025 17.00,0.0,0.0,76.8,76.8
04/01/2025 17.15,0.0,0.0,73.2,73.2
04/01/2025 17.30,0.0,0.0,68.4,68.4
04/01/2025 17.45,0.0,0.0,76.8,76.8
04/01/2025 18.00,0.0,0.0,74.4,74.4
04/01/2025 18.15,0.0,0.0,81.6,81.6
04/01/2025 18.30,0.0,0.0,81.6,81.6
04/01/2025 18.45,0.0,0.0,86.4,86.4
04/01/2025 19.00,0.0,0.0,75.6,75.6
04/01/2025 19.15,0.0,0.0,78.0,78.0
04/01/2025 19.30,0.0,0.0,80.4,80.4
04/01/2025 19.45,0.0,0.0,82.8,82.8
04/01/2025 20.00,0.0,0.0,80.4,80.4
04/01/2025 20.15,0.0,0.0,70.8,70.8
04/01/2025 20.30,0.0,0.0,74.4,74.4
04/01/2025 20.45,0.0,0.0,74.4,74.4
04/01/2025 21.00,0.0,0.0,61.2,61.2
04/01/2025 21.15,0.0,0.0,60.0,60.0
04/01/2025 21.30,0.0,0.0,67.2,67.2
04/01/2025 21.45,0.0,0.0,79.2,79.2
04/01/2025 22.00,0.0,0.0,75.6,75.6
04/01/2025 22.15,0.0,0.0,80.4,80.4
04/01/2025 22.30,0.0,0.0,85.2,85.2
04/01/2025 22.45,0.0,0.0,76.8,76.8
04/01/2025 23.00,0.0,0.0,75.6,75.6
04/01/2025 23.15,0.0,0.0,78.0,78.0
04/01/2025 23.30,0.0,0.0,76.8,76.8
04/01/2025 23.45,0.0,0.0,79.2,79.2
05/01/2025 00.00,0.0,0.0,81.6,81.6
05/01/2025 00.15,0.0,0.0,70.8,70.8
05/01/2025 00.30,0.0,0.0,60.0,60.0
05/01/2025 00.45,0.0,0.0,55.2,55.2
05/01/2025 01.00,0.0,0.0,57.6,57.6
05/01/2025 01.15,0.0,0.0,55.2,55.2
05/01/2025 01.30,0.0,0.0,58.8,58.8
05/01/2025 01.45,0.0,0.0,60.0,60.0
05/01/2025 02.00,0.0,0.0,50.4,50.4
05/01/2025 02.15,0.0,0.0,54.0,54.0
05/01/2025 02.30,0.0,0.0,55.2,55.2
05/01/2025 02.45,0.0,0.0,49.2,49.2
05/01/2025 03.00,0.0,0.0,54.0,54.0
05/01/2025 03.15,0.0,0.0,51.6,51.6
05/01/2025 03.30,0.0,0.0,51.6,51.6
05/01/2025 03.45,0.0,0.0,50.4,50.4
05/01/2025 04.00,0.0,0.0,50.4,50.4
05/01/2025 04.15,0.0,0.0,50.4,50.4
05/01/2025 04.30,0.0,0.0,50.4,50.4
05/01/2025 04.45,0.0,0.0,51.6,51.6
05/01/2025 05.00,0.0,0.0,54.0,54.0
05/01/2025 05.15,0.0,0.0,60.0,60.0
05/01/2025 05.30,0.0,0.0,57.6,57.6
05/01/2025 05.45,0.0,0.0,66.0,66.0
05/01/2025 06.00,0.0,0.0,56.4,56.4
05/01/2025 06.15,0.0,0.0,57.6,57.6
05/01/2025 06.30,0.0,0.0,55.2,55.2
05/01/2025 06.45,0.0,0.0,61.2,61.2
05/01/2025 07.00,0.0,0.0,62.4,62.4
05/01/2025 07.15,0.0,0.0,64.8,64.8
05/01/2025 07.30,0.0,0.0,73.2,73.2
05/01/2025 07.45,0.0,0.0,81.6,81.6
05/01/2025 08.00,0.0,0.0,86.4,86.4
05/01/2025 08.15,0.0,0.0,87.6,87.6
05/01/2025 08.30,0.0,0.0,80.4,80.4
05/01/2025 08.45,0.0,0.0,69.6,69.6
05/01/2025 09.00,0.0,0.0,63.6,63.6
05/01/2025 09.15,0.0,0.0,64.8,64.8
05/01/2025 09.30,0.0,0.0,78.0,78.0
05/01/2025 09.45,0.0,0.0,79.2,79.2
05/01/2025 10.00,0.0,0.0,80.4,80.4
05/01/2025 10.15,0.0,0.0,79.2,79.2
05/01/2025 10.30,0.0,0.0,120.0,120.0
05/01/2025 10.45,0.0,0.0,127.2,127.2
05/01/2025 11.00,0.0,0.0,121.2,121.2
05/01/2025 11.15,0.0,0.0,135.6,135.6
05/01/2025 11.30,0.0,0.0,127.2,127.2
05/01/2025 11.45,0.0,0.0,148.8,148.8
05/01/2025 12.00,0.0,0.0,164.4,164.4
05/01/2025 12.15,0.0,0.0,140.4,140.4
05/01/2025 12.30,0.0,0.0,144.0,144.0
05/01/2025 12.45,0.0,0.0,144.0,144.0
05/01/2025 13.00,0.0,0.0,126.0,126.0
05/01/2025 13.15,0.0,0.0,142.8,142.8
05/01/2025 13.30,0.0,0.0,146.4,146.4
05/01/2025 13.45,0.0,0.0,138.0,138.0
05/01/2025 14.00,0.0,0.0,138.0,138.0
05/01/2025 14.15,0.0,0.0,147.6,147.6
05/01/2025 14.30,0.0,0.0,151.2,151.2
05/01/2025 14.45,0.0,0.0,150.0,150.0
05/01/2025 15.00,0.0,0.0,151.2,151.2
05/01/2025 15.15,0.0,0.0,141.6,141.6
05/01/2025 15.30,0.0,0.0,134.4,134.4
05/01/2025 15.45,0.0,0.0,138.0,138.0
05/01/2025 16.00,0.0,0.0,138.0,138.0
05/01/2025 16.15,0.0,0.0,146.4,146.4
05/01/2025 16.30,0.0,0.0,148.8,148.8
05/01/2025 16.45,0.0,0.0,132.0,132.0
05/01/2025 17.00,0.0,0.0,86.4,86.4
05/01/2025 17.15,0.0,0.0,87.6,87.6
05/01/2025 17.30,0.0,0.0,82.8,82.8
05/01/2025 17.45,0.0,0.0,78.0,78.0
05/01/2025 18.00,0.0,0.0,56.4,56.4
05/01/2025 18.15,0.0,0.0,55.2,55.2
05/01/2025 18.30,0.0,0.0,60.0,60.0
05/01/2025 18.45,0.0,0.0,64.8,64.8
05/01/2025 19.00,0.0,0.0,62.4,62.4
05/01/2025 19.15,0.0,0.0,62.4,62.4
05/01/2025 19.30,0.0,0.0,66.0,66.0
05/01/2025 19.45,0.0,0.0,66.0,66.0
05/01/2025 20.00,0.0,0.0,61.2,61.2
05/01/2025 20.15,0.0,0.0,64.8,64.8
05/01/2025 20.30,0.0,0.0,57.6,57.6
05/01/2025 20.45,0.0,0.0,64.8,64.8
05/01/2025 21.00,0.0,0.0,74.4,74.4
05/01/2025 21.15,0.0,0.0,80.4,80.4
05/01/2025 21.30,0.0,0.0,73.2,73.2
05/01/2025 21.45,0.0,0.0,70.8,70.8
05/01/2025 22.00,0.0,0.0,64.8,64.8
05/01/2025 22.15,0.0,0.0,67.2,67.2
05/01/2025 22.30,0.0,0.0,56.4,56.4
05/01/2025 22.45,0.0,0.0,60.0,60.0
05/01/2025 23.00,0.0,0.0,64.8,64.8
05/01/2025 23.15,0.0,0.0,68.4,68.4
05/01/2025 23.30,0.0,0.0,69.6,69.6
05/01/2025 23.45,0.0,0.0,69.6,69.6
06/01/2025 00.00,0.0,72.0,0.0,72.0
06/01/2025 00.15,0.0,72.0,0.0,72.0
06/01/2025 00.30,0.0,70.8,0.0,70.8
06/01/2025 00.45,0.0,67.2,0.0,67.2
06/01/2025 01.00,0.0,58.8,0.0,58.8
06/01/2025 01.15,0.0,60.0,0.0,60.0
06/01/2025 01.30,0.0,61.2,0.0,61.2
06/01/2025 01.45,0.0,62.4,0.0,62.4
06/01/2025 02.00,0.0,51.6,0.0,51.6
06/01/2025 02.15,0.0,51.6,0.0,51.6
06/01/2025 02.30,0.0,50.4,0.0,50.4
06/01/2025 02.45,0.0,48.0,0.0,48.0
06/01/2025 03.00,0.0,48.0,0.0,48.0
06/01/2025 03.15,0.0,46.8,0.0,46.8
06/01/2025 03.30,0.0,48.0,0.0,48.0
06/01/2025 03.45,0.0,48.0,0.0,48.0
06/01/2025 04.00,0.0,51.6,0.0,51.6
06/01/2025 04.15,0.0,50.4,0.0,50.4
06/01/2025 04.30,0.0,49.2,0.0,49.2
06/01/2025 04.45,0.0,49.2,0.0,49.2
06/01/2025 05.00,0.0,51.6,0.0,51.6
06/01/2025 05.15,0.0,54.0,0.0,54.0
06/01/2025 05.30,0.0,54.0,0.0,54.0
06/01/2025 05.45,0.0,48.0,0.0,48.0
06/01/2025 06.00,0.0,63.6,0.0,63.6
06/01/2025 06.15,0.0,55.2,0.0,55.2
06/01/2025 06.30,0.0,57.6,0.0,57.6
06/01/2025 06.45,0.0,58.8,0.0,58.8
06/01/2025 07.00,0.0,96.0,0.0,96.0
06/01/2025 07.15,0.0,208.8,0.0,208.8
06/01/2025 07.30,0.0,211.2,0.0,211.2
06/01/2025 07.45,0.0,228.0,0.0,228.0
06/01/2025 08.00,0.0,214.8,0.0,214.8
06/01/2025 08.15,0.0,208.8,0.0,208.8
06/01/2025 08.30,0.0,225.6,0.0,225.6
06/01/2025 08.45,0.0,246.0,0.0,246.0
